DATE,HIGH,LOW
2016-03-02,35.5668008754,34.0123700755
2016-03-03,35.7009054467,34.6855619033
2016-03-06,37.0203263061,34.9353708518
2016-03-07,39.3252197322,37.1871850364
2016-03-08,39.3708823508,36.7891557933
2016-03-09,39.1418991786,36.4795783208
2016-03-10,38.7853363647,37.7425824226
2016-03-13,39.2084079654,38.3568514445
2016-03-14,38.5028285426,36.3827867954
2016-03-15,36.7128383601,35.5187555546
2016-03-16,38.4297173601,36.413523081
2016-03-17,40.814576134,38.8012322025
2016-03-20,41.8686002324,39.8037959021
2016-03-21,41.0425224927,38.8256642299
2016-03-22,42.4512198833,41.5580499539
2016-03-23,41.9955698268,40.2118925703
2016-03-24,39.7642125629,38.2555104813
2016-03-29,39.4113045669,37.7237020678
2016-03-30,39.4421170613,38.1062207408
2016-03-31,38.7610097433,37.353907399
2016-04-03,38.207325803,36.1581497506
2016-04-04,36.481540582,34.7483189936
2016-04-05,35.874229959,34.627708064
2016-04-06,38.0254125489,36.5886509946
2016-04-07,38.6695212007,37.046894875
2016-04-10,40.7357390922,38.2329822034
2016-04-11,41.7964801162,39.5892877917
2016-04-12,43.5638054403,40.555186286
2016-04-13,43.7355186762,41.8541119047
2016-04-14,42.9498006917,41.6434201858
